year;Alsace;Auvergne;Auxerre-Avalon;Beaujolais and Maconnais;Bordeaux;Burgundy;Champagne;Gaillac- South-West;Germany;High Loire Valley;Ile de France;Jura;Languedoc;Low Loire Valley;Luxembourg;Maritime alps;Northern Italy;Northern Lorraine;Northern Rhone Valley;Savoie;Southern Lorraine;Southern Rhone Valley;Spain;Switzerland (Leman Lake);Various South-East;Vendée - Poitou Charente
1600;;;;;50.5000;43.0000;;;;49.0000;50.3000;62.5000;;;;;;;;;;16.1000;32.0000;48.6000;40.0000;26.0000
1601;;;;;35.5000;38.0000;;;;;31.3000;56.5000;34.4000;;;;;;;;;30.2000;52.0000;45.8000;;21.0000
1602;;;;;23.5000;23.0000;;;;;;39.0000;;;;31.5000;;;;;;12.4000;35.0000;27.5000;;26.0000
1603;;;;;20.8000;13.0000;;;;;35.3000;27.0000;;;;31.0000;;;;;;4.6000;31.0000;17.6000;24.0000;22.0000
1604;;;;;;20.0000;;;;;19.3000;41.0000;10.8000;;;37.5000;;;;;;11.2000;35.0000;29.0000;;16.0000
1605;;;;;33.5000;20.0000;;;;;39.3000;42.0000;16.8000;;;40.0000;;;;;;15.3000;;26.8000;;20.0000
1606;;;;;45.5000;36.0000;;;;;;54.5000;;;;46.0000;;;;;;15.6000;28.0000;49.6000;;39.0000
1607;;;;;29.5000;24.0000;;;;;;39.0000;;;;34.0000;;;;;;0.7000;33.0000;34.5000;39.0000;20.0000
1608;;;;;41.5000;31.0000;;;;;;55.0000;16.2000;;;45.0000;;;;;;16.1000;40.0000;43.6000;;18.0000
1609;;;;;21.5000;28.0000;;;;;18.3000;44.0000;23.0000;;;49.0000;;;;;;14.1000;46.0000;38.6000;41.0000;17.0000
1610;;;;;27.3000;20.0000;;;;;;36.0000;13.9000;;;34.0000;;;;;;12.6000;35.0000;22.6000;34.0000;-1.0000
1611;;;;;19.0000;14.0000;;;45.0000;;;32.0000;;;;30.0000;;;;;;11.2000;37.0000;19.6000;;40.0000
1612;;;;;32.0000;31.0000;;31.0000;50.0000;38.0000;31.3000;48.5000;12.8000;;;41.0000;;;;;;18.2000;40.0000;36.8000;;32.0000
1613;;;;;34.0000;25.0000;;;;;22.2000;43.5000;19.8000;;;47.0000;;;;;;18.4000;38.0000;38.6000;40.0000;31.0000
1614;;;;;;36.0000;;;55.0000;;26.2000;61.5000;27.3000;;;50.0000;;;;;;18.9000;30.0000;43.6000;;36.0000
1615;;;;;27.5000;22.0000;;;31.0000;;27.3000;33.0000;16.0000;;;42.0000;;;;;;13.6000;22.0000;28.0000;35.0000;28.0000
1616;;;;;29.5000;12.0000;;;17.0000;;;18.5000;9.9000;;;40.0000;;;;;;5.1000;24.0000;16.6000;;8.0000
1617;;;;;24.5000;33.0000;;;;;33.3000;48.5000;15.8000;;;46.0000;;;;;;14.6000;42.0000;54.3000;40.0000;22.0000
1618;;;;;36.0000;36.0000;;;53.0000;;30.7000;55.0000;24.8000;;;;;;;;;23.2000;38.0000;46.6000;42.0000;18.0000
1619;;;;;;26.0000;;;;35.0000;23.3000;46.0000;13.8000;;;44.0000;;;;;;11.6000;42.0000;29.6000;36.0000;23.0000
1620;;;;;38.0000;28.0000;;;50.0000;38.0000;;44.0000;16.9000;;;42.0000;;;;;;17.3000;39.0000;42.0000;35.0000;25.0000
1621;;;;;45.0000;46.0000;;;53.0000;53.0000;;64.0000;22.0000;;;55.5000;;;;;;24.6000;49.0000;63.5000;38.0000;21.0000
1622;;;;;;24.0000;;;41.0000;33.0000;;45.0000;;;;50.0000;;;;;;15.1000;26.0000;41.0000;31.0000;14.0000
1623;;;;;25.0000;15.0000;;;37.0000;32.0000;;39.0000;20.1000;;;46.0000;43.0000;;;;;17.0000;39.0000;34.5000;27.0000;-1.0000
1624;;;;;;14.0000;;;35.0000;16.0000;16.0000;29.5000;15.5000;;;37.0000;;;;;;14.1000;30.0000;23.6000;29.0000;0.0000
1625;;;;;;33.0000;;;;41.0000;;50.0000;22.3000;;;43.0000;;;;;;19.9000;38.0000;40.6000;;26.0000
1626;;;;;39.5000;27.0000;;;43.0000;42.0000;;43.0000;19.9000;;;;;;;;;14.2000;49.0000;32.6000;52.0000;8.0000
1627;;;;;;44.0000;;;58.0000;51.0000;;69.0000;33.5000;;;56.0000;54.0000;;;;;31.0000;49.0000;51.6000;;16.0000
1628;;;;;;44.2000;;;61.0000;24.0000;;64.0000;31.6000;;;42.5000;55.0000;;;;;32.2000;39.0000;68.5000;53.0000;8.0000
1629;;;;;30.0000;27.0000;;;29.0000;31.0000;;;30.3000;;;45.0000;;;;;;20.2000;52.0000;21.6000;40.0000;4.0000
1630;;;;;;20.0000;;;35.0000;;;34.0000;22.1000;;;37.0000;;;;;;17.1000;;30.6000;;43.0000
1631;;;;;;20.0000;;;37.0000;;;39.0000;17.5000;;;39.0000;;;;;;13.0000;;26.7000;29.0000;
1632;;;;;;34.0000;;;53.0000;;;49.0000;31.2000;;;48.0000;;;;;;21.1000;;48.6000;;
1633;;;;;36.5000;37.0000;;38.0000;;;;52.5000;26.8000;;;54.0000;;;;;;19.6000;56.0000;40.7000;47.0000;
1634;;;;;;33.0000;;;54.0000;;;;22.7000;;;46.0000;42.0000;;;;;20.0000;39.0000;32.6000;40.0000;
1635;;;;;;25.0000;;;53.0000;;;44.0000;16.6000;;;31.0000;;;;;;15.0000;31.0000;35.6000;24.0000;
1636;;;;;;4.0000;;;34.0000;;;;15.3000;;;43.0000;;;;;;11.1000;31.0000;24.3000;;
1637;;;;;;3.0000;;;26.0000;9.0000;;;11.8000;;;21.0000;;;;;;3.0000;35.0000;27.5000;;
1638;;;;;;10.0000;;;;;;20.0000;17.8000;;;38.0000;;;;;;6.0000;43.0000;29.6000;;
1639;;;;;;20.0000;;;;;;45.0000;16.8000;;;34.5000;;;;;;15.0000;35.0000;35.6000;;
1640;;;;;34.5000;31.0000;;36.0000;;;;54.0000;18.3000;;;46.0000;;;;;;13.0000;45.0000;37.7000;;
1641;;;;;;33.0000;;37.5000;45.0000;;;49.0000;21.8000;;;51.0000;55.0000;;;;;18.2000;37.0000;42.8000;42.0000;
1642;;;;;;33.0000;;50.0000;;;;49.5000;31.8000;;;54.5000;;;;;;32.0000;38.0000;46.6000;46.0000;
1643;;;;;;31.0000;;;45.0000;;;53.0000;24.8000;;;49.5000;;;;;;19.0000;40.0000;48.5000;;
